Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_ControlBoard\Documentation\Pick and Place\STB_ControlBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       23.11.22
Time:       12:19
Revision:   bf3e88b55010f94acd8bf179f2ce01c36ded5440
Variant:    No variations
Units used: mm

Designator Comment                  Layer       Footprint                     Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
Q1         SIA440DJ-T1-GE3          TopLayer    SC70-6L_65P210X80_HS-7L       49.9295      69.1433      90       "VISHAY   SIA440DJ-T1-GE3   MOSFET Transistor, N Channel, 12 A, 40 V, 0.021 ohm, 10 V"                                                           
J1         2305018-2                TopLayer    2305018-2                     65.0000      3.6900       0        "USB TYPE C, REC IPX8 ON BOARD DUAL SMT"                                                                                                         
TP48       TP_1mm                   TopLayer    TP-SM-C-100                   64.1783      24.1198      90       "testPoint 1mm"                                                                                                                                  
TP53       TP_1mm                   TopLayer    TP-SM-C-100                   43.6335      25.3171      90       "testPoint 1mm"                                                                                                                                  
TP52       TP_1mm                   TopLayer    TP-SM-C-100                   40.6213      31.5512      90       "testPoint 1mm"                                                                                                                                  
TP51       TP_1mm                   BottomLayer TP-SM-C-100                   40.7167      33.2583      90       "testPoint 1mm"                                                                                                                                  
TP49       TP_1mm                   TopLayer    TP-SM-C-100                   41.6208      28.6548      90       "testPoint 1mm"                                                                                                                                  
TP40       TP_1mm                   BottomLayer TP-SM-C-100                   66.7858      64.9000      90       "testPoint 1mm"                                                                                                                                  
TP39       TP_1mm                   BottomLayer TP-SM-C-100                   64.7610      63.2118      90       "testPoint 1mm"                                                                                                                                  
TP54       TP_1mm                   TopLayer    TP-SM-C-100                   50.1957      76.8457      90       "testPoint 1mm"                                                                                                                                  
TP50       TP_1mm                   BottomLayer TP-SM-C-100                   48.7341      20.8833      90       "testPoint 1mm"                                                                                                                                  
TP45       TP_1mm                   TopLayer    TP-SM-C-100                   49.9804      50.6699      90       "testPoint 1mm"                                                                                                                                  
TP47       TP_1mm                   TopLayer    TP-SM-C-100                   60.7013      30.8698      90       "testPoint 1mm"                                                                                                                                  
TP41       TP_1mm                   TopLayer    TP-SM-C-100                   42.0793      50.6124      180      "testPoint 1mm"                                                                                                                                  
TP46       TP_1mm                   TopLayer    TP-SM-C-100                   43.7151      38.7695      90       "testPoint 1mm"                                                                                                                                  
TP44       TP_1mm                   TopLayer    TP-SM-C-100                   22.8100      29.8535      90       "testPoint 1mm"                                                                                                                                  
TP43       TP_1mm                   TopLayer    TP-SM-C-100                   58.4030      13.5379      90       "testPoint 1mm"                                                                                                                                  
TP34       TP_1mm                   TopLayer    TP-SM-C-100                   44.7353      77.0115      90       "testPoint 1mm"                                                                                                                                  
TP33       TP_1mm                   BottomLayer TP-SM-C-100                   7.5700       8.6000       270      "testPoint 1mm"                                                                                                                                  
TP32       TP_1mm                   BottomLayer TP-SM-C-100                   30.4300      8.6000       270      "testPoint 1mm"                                                                                                                                  
TP31       TP_1mm                   BottomLayer TP-SM-C-100                   16.8000      72.8359      90       "testPoint 1mm"                                                                                                                                  
TP30       TP_1mm                   TopLayer    TP-SM-C-100                   56.1038      76.8457      90       "testPoint 1mm"                                                                                                                                  
TP29       TP_1mm                   TopLayer    TP-SM-C-100                   49.3685      65.4000      90       "testPoint 1mm"                                                                                                                                  
TP28       TP_1mm                   TopLayer    TP-SM-C-100                   31.9375      61.6740      90       "testPoint 1mm"                                                                                                                                  
TP27       TP_1mm                   TopLayer    TP-SM-C-100                   31.8500      59.0258      90       "testPoint 1mm"                                                                                                                                  
TP26       TP_1mm                   BottomLayer TP-SM-C-100                   15.6529      16.1000      90       "testPoint 1mm"                                                                                                                                  
TP25       TP_1mm                   BottomLayer TP-SM-C-100                   15.6529      18.3750      90       "testPoint 1mm"                                                                                                                                  
TP24       TP_1mm                   BottomLayer TP-SM-C-100                   12.6500      2.5000       270      "testPoint 1mm"                                                                                                                                  
TP23       TP_1mm                   BottomLayer TP-SM-C-100                   12.6500      8.3850       270      "testPoint 1mm"                                                                                                                                  
TP22       TP_1mm                   BottomLayer TP-SM-C-100                   15.1900      2.5000       270      "testPoint 1mm"                                                                                                                                  
TP21       TP_1mm                   BottomLayer TP-SM-C-100                   15.2010      8.3613       270      "testPoint 1mm"                                                                                                                                  
TP20       TP_1mm                   TopLayer    TP-SM-C-100                   17.7300      2.5000       270      "testPoint 1mm"                                                                                                                                  
TP19       TP_1mm                   BottomLayer TP-SM-C-100                   17.7300      10.2000      270      "testPoint 1mm"                                                                                                                                  
TP18       TP_1mm                   TopLayer    TP-SM-C-100                   20.2700      2.5000       270      "testPoint 1mm"                                                                                                                                  
TP17       TP_1mm                   BottomLayer TP-SM-C-100                   20.2700      10.0000      270      "testPoint 1mm"                                                                                                                                  
TP16       TP_1mm                   BottomLayer TP-SM-C-100                   22.8100      2.5000       270      "testPoint 1mm"                                                                                                                                  
TP15       TP_1mm                   TopLayer    TP-SM-C-100                   22.8100      8.3850       270      "testPoint 1mm"                                                                                                                                  
