Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_LightBoard\Documentation\Pick and Place\STB_LightBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       23.11.22
Time:       14:05
Revision:   87dbf6aac9685c60eb9d089f28de2c969bd89e27
Variant:    No variations
Units used: mm

Designator      Comment              Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
X3              61002021121          TopLayer 61002021121               27.0000      310.0000     0        "SMT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 20 pins"                                                                               
LED77_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              290.0070     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED76_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              279.2660     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED75_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              268.5250     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED74_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              257.7840     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED73_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              247.0430     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED72_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              236.3020     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED71_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              225.5610     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED70_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              214.8200     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED69_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              204.0790     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED68_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              193.3380     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED67_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              182.5970     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED66_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              171.8560     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED65_W5_65     NF2W757GT-F1         TopLayer NF2W757GT-F1              161.1150     150.3600     180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A5     NF2W757GT-F1         TopLayer NF2W757GT-F1              139.6330     0.0000       180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A4     NF2W757GT-F1         TopLayer NF2W757GT-F1              128.8920     10.7400      180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A3     NF2W757GT-F1         TopLayer NF2W757GT-F1              139.6330     10.7400      180      "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A2     NF2W757GT-F1         TopLayer NF2W757GT-F1              150.3740     10.7400      0        "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A1     NF2W757GT-F1         TopLayer NF2W757GT-F1              161.1150     10.7400      0        "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_A0     NF2W757GT-F1         TopLayer NF2W757GT-F1              150.3740     0.0000       0        "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_15     NF2W757GT-F1         TopLayer NF2W757GT-F1              0.0000       268.5250     0        "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
LED77_W5_95     NF2W757GT-F1         TopLayer NF2W757GT-F1              150.3740     289.9800     0        "SMD LED White 3,3 V, 42,8 lm 3030 (1212)"                                                                                                       
