Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_SensorBoard\Documentation\Pick and Place\STB_SensorBoard_Pick and Place.txt

========================================================================================================================
File Design Information:

Date:       09.11.22
Time:       09:56
Revision:   18bfd3b5abf29e1933fc09800507b468027133b6
Variant:    STB_SensorBoard_main
Units used: mm

Designator Comment           Layer    Footprint                 Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                      
D8         ESD9C5.0ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.8862     287.7467     180      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-923, Pb-Free, Tape and Reel"                                   
D9         ESD9X12ST5G       TopLayer ONSC-SOD-923-2-514AA-01_V 351.8861     291.2567     180      "Transient Voltage Suppressor, Micro-Packaged Diode for ESD Protection, 2-Pin SOD-923, Pb-Free, Tape and Reel"                                   
D1         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.9161     319.2567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D2         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.8862     315.7567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D3         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.9161     312.2567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D4         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.8862     308.7567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D5         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.9161     305.2567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D6         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.9161     301.7567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
D7         ESD9R3.3ST5G      TopLayer ONSC-SOD-923-2-514AB-01_V 351.8961     284.2567     180      "Transient Voltage Suppressor, ESD Protection Diode with Ultra-Low Leakage, 2-Pin SOD-923, Pb-Free, Tape and Reel"                               
X1         61002021121       TopLayer 61002021121               256.0000     351.0000     180      "SMT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 20 pins"                                                                               
L1_T4      744042001         TopLayer WE-TPC-4818-M             294.5115     221.1678     0        "SMD Shielded Tiny Power Inductor WE-TPC, L = 1.00 µH"                                                                                           
L1_T3      744042001         TopLayer WE-TPC-4818-M             294.5115     121.1377     0        "SMD Shielded Tiny Power Inductor WE-TPC, L = 1.00 µH"                                                                                           
L1_T2      744042001         TopLayer WE-TPC-4818-M             49.4885      125.8323     180      "SMD Shielded Tiny Power Inductor WE-TPC, L = 1.00 µH"                                                                                           
L1_T1      744042001         TopLayer WE-TPC-4818-M             49.4885      225.8323     180      "SMD Shielded Tiny Power Inductor WE-TPC, L = 1.00 µH"                                                                                           
M22        9774015243R       TopLayer 9774015243R               272.0000     247.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M21        9774015243R       TopLayer 9774015243R               282.0000     237.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M20        9774015243R       TopLayer 9774015243R               282.0000     137.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M19        9774015243R       TopLayer 9774015243R               282.0000     37.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M18        9774015243R       TopLayer 9774015243R               272.0000     27.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M17        9774015243R       TopLayer 9774015243R               172.0000     27.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M16        9774015243R       TopLayer 9774015243R               72.0000      27.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M15        9774015243R       TopLayer 9774015243R               62.0000      37.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M14        9774015243R       TopLayer 9774015243R               62.0000      137.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M13        9774015243R       TopLayer 9774015243R               62.0000      237.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M12        9774015243R       TopLayer 9774015243R               72.0000      247.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M11        9774015243R       TopLayer 9774015243R               172.0000     247.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M10        9774015243R       TopLayer 9774015243R               237.0000     247.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M9         9774015243R       TopLayer 9774015243R               247.0000     236.8769     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M8         9774015243R       TopLayer 9774015243R               247.0000     172.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M7         9774015243R       TopLayer 9774015243R               247.0000     107.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M6         9774015243R       TopLayer 9774015243R               237.0000     97.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M5         9774015243R       TopLayer 9774015243R               172.0000     97.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M4         9774015243R       TopLayer 9774015243R               107.0000     97.0000      0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M3         9774015243R       TopLayer 9774015243R               97.0000      107.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M2         9774015243R       TopLayer 9774015243R               97.0000      172.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
M1         9774015243R       TopLayer 9774015243R               97.0000      237.0000     0        "RND STANDOFF M2X0.4 STEEL 1.5MM"                                                                                                                
R23        NCP15XH103F03RC   TopLayer FP-NCP15-NCU15-0_05-IPC_C 273.3250     172.0001     270      "NTC Thermistor for Temperature Sensor, 0402, 10kO, 1%, 0.1mA, 5V"                                                                               
R21        NCP15XH103F03RC   TopLayer FP-NCP15-NCU15-0_05-IPC_C 70.0000      172.0000     270      "NTC Thermistor for Temperature Sensor, 0402, 10kO, 1%, 0.1mA, 5V"                                                                               
U16        N24S64BC4DYT3G    TopLayer 4-WLCSP_(0.77x0.77)       173.0750     305.4224     0        "Memory IC 64Kb (8K x 8) I²C 1 MHz 400 ns 4-WLCSP (0.77x0.77)"                                                                                   
X8         73412-0110        TopLayer MOLX-73412-0110_V         346.0000     260.0000     270      "MCRF, PCB Vertical Jack Receptacle, 50 Ohm, 4-Pin SMD, RoHS, Tape and Reel"                                                                     
X7         73412-0110        TopLayer MOLX-73412-0110_V         230.0000     269.5000     90       "MCRF, PCB Vertical Jack Receptacle, 50 Ohm, 4-Pin SMD, RoHS, Tape and Reel"                                                                     
X5         73412-0110        TopLayer MOLX-73412-0110_V         346.0000     253.0000     270      "MCRF, PCB Vertical Jack Receptacle, 50 Ohm, 4-Pin SMD, RoHS, Tape and Reel"                                                                     
X4         73412-0110        TopLayer MOLX-73412-0110_V         229.9999     264.5488     90       "MCRF, PCB Vertical Jack Receptacle, 50 Ohm, 4-Pin SMD, RoHS, Tape and Reel"                                                                     
U15        TPS25200DRVT      TopLayer FP-DRV0006A-MFG           126.9962     251.0000     90       "IC PWR MGR EFUSE 6.5V 2.8A 6SON"                                                                                                                
U2         AD5593RBCPZ-RL7   TopLayer FP-CP-16-32-IPC_C         184.6360     298.6000     90       "IC ADC/DAC 12BIT 16LFCSP"                                                                                                                       
U1         AD5593RBCPZ-RL7   TopLayer FP-CP-16-32-IPC_C         158.5000     298.4500     0        "IC ADC/DAC 12BIT 16LFCSP"                                                                                                                       
U5         MAX6615AEE+T      TopLayer MAXM-E16+1_M              172.0000     329.7500     0        "Dual-Channel Temperature Monitors and Fan-Speed Controller with Thermistor Inputs, -40 to 125 degC, 16-Pin SOP (E16+1), Pb-Free, Tape and Reel" 
R34        10k               TopLayer RESC1005X40X25LL05T05     170.2220     266.0263     90       "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R33        10k               TopLayer RESC1005X40X25LL05T05     171.0946     266.0263     90       "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R30        10k               TopLayer RESC1005X40X25LL05T05     172.0000     266.0262     90       "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R29        10k               TopLayer RESC1005X40X25LL05T05     298.0000     48.5000      0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R28        10k               TopLayer RESC1005X40X25LL05T05     50.4983      295.8830     90       "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R27        10k               TopLayer RESC1005X40X25LL05T05     173.2249     257.9905     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R26        10k               TopLayer RESC1005X40X25LL05T05     297.5745     295.0804     270      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R25        10k               TopLayer RESC1005X40X25LL05T05     51.2500      48.5000      0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R20        10k               TopLayer RESC1005X40X25LL05T05     177.0033     327.4960     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R19        10k               TopLayer RESC1005X40X25LL05T05     177.0033     328.7717     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R14_T4     10k               TopLayer RESC1005X40X25LL05T05     177.6198     297.9387     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R14_T3     10k               TopLayer RESC1005X40X25LL05T05     177.6250     295.8420     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R14_T2     10k               TopLayer RESC1005X40X25LL05T05     166.4951     297.1117     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R14_T1     10k               TopLayer RESC1005X40X25LL05T05     166.4951     299.0433     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R13_T4     10k               TopLayer RESC1005X40X25LL05T05     177.6250     298.8820     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R13_T3     10k               TopLayer RESC1005X40X25LL05T05     177.6250     296.8859     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R13_T2     10k               TopLayer RESC1005X40X25LL05T05     166.4899     296.1683     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R13_T1     10k               TopLayer RESC1005X40X25LL05T05     166.4899     298.1000     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T4     10k               TopLayer RESC1005X40X25LL05T05     298.1000     215.4678     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T3     10k               TopLayer RESC1005X40X25LL05T05     298.1000     115.4377     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T2     10k               TopLayer RESC1005X40X25LL05T05     45.9000      131.5323     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R12_T1     10k               TopLayer RESC1005X40X25LL05T05     45.9000      231.5323     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R11        10k               TopLayer RESC1005X40X25LL05T05     166.4899     299.9759     0        "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R7         10k               TopLayer RESC1005X40X25LL05T05     181.5228     298.3499     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
R2         10k               TopLayer RESC1005X40X25LL05T05     157.8500     301.6000     180      "Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
C46        100nF             TopLayer CAPC1050X55X23LL05T13     177.0018     261.0636     180      "Chip Capacitor, 100 nF, +/- 10%, 16 V, -55 to 125 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                
