Altium Designer Pick and Place Locations
C:\Users\phili\polybox\05_AltiumProjects\SolarTestBed\STB_ValidationBoard\Documentation\Pick and Place\STB_ValidationBoard_Pick and Place.csv

========================================================================================================================
File Design Information:

Date:       09.11.22
Time:       09:42
Revision:   99dbafdebc9ee8df63f035ad4a675afc8efd9e1c
Variant:    STB_ValidationBoard_main
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U8","LTC4316IDD#TRPBF","TopLayer","DFN10(3x3)_N","7.5000","19.2000","90","Single I2C/SMBus Address Translator"
"U13","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","12.2640","74.9780","180","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S64","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","11.0000","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S63","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","29.5714","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S62","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","48.1428","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S61","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","66.7142","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S60","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","85.2856","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S59","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","103.8570","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S58","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","122.4284","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S57","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","140.9998","139.9998","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S56","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","140.9998","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S55","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","122.4284","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S54","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","103.8570","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S53","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","85.2856","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S52","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","66.7142","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S51","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","48.1428","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S50","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","29.5714","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S49","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","11.0000","121.4284","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S48","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","11.0000","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S47","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","29.5714","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S46","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","48.1428","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S45","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","66.7142","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S44","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","85.2856","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
"U2_S43","TMP116NAIDRVR","TopLayer","FP-DRV0006B-MFG","103.8570","102.8570","90","SENSOR DIGITAL -55C-125C 6WSON"
